state	year	fips_pct	fips_cnty	precinct_code	county	precinct	cd	g2005_GOV_dv	g2005_GOV_rv	g2005_GOV_tv	g2005_LTG_dv	g2005_LTG_rv	g2005_LTG_tv	g2005_ATG_dv	g2005_ATG_rv	g2005_ATG_tv
"VA"	2005	1101	51001	101	"ACCOMACK COUNTY"	"CHINCOTEAGUE"	2	398	629	1027	365	652	1017	340	669	1009
"VA"	2005	1201	51001	201	"ACCOMACK COUNTY"	"ATLANTIC"	2	113	165	278	93	188	281	95	181	276
"VA"	2005	1202	51001	202	"ACCOMACK COUNTY"	"GREENBACKVILLE"	2	92	144	236	96	146	242	90	152	242
"VA"	2005	1203	51001	203	"ACCOMACK COUNTY"	"HALLWOOD"	2	67	101	168	56	112	168	54	113	167
"VA"	2005	1204	51001	204	"ACCOMACK COUNTY"	"SAXIS"	2	27	55	82	26	53	79	23	56	79
"VA"	2005	1205	51001	205	"ACCOMACK COUNTY"	"TANGIER"	2	42	155	197	40	154	194	31	163	194
"VA"	2005	1301	51001	301	"ACCOMACK COUNTY"	"NEW CHURCH"	2	119	84	203	111	95	206	100	104	204
"VA"	2005	1302	51001	302	"ACCOMACK COUNTY"	"OAK HALL"	2	174	142	316	169	145	314	161	158	319
"VA"	2005	1401	51001	401	"ACCOMACK COUNTY"	"BLOXOM"	2	88	146	234	76	158	234	75	156	231
"VA"	2005	1402	51001	402	"ACCOMACK COUNTY"	"PARKSLEY"	2	238	244	482	213	274	487	219	264	483
"VA"	2005	1501	51001	501	"ACCOMACK COUNTY"	"MAPPSVILLE"	2	139	106	245	127	117	244	121	121	242
"VA"	2005	1502	51001	502	"ACCOMACK COUNTY"	"RUE"	2	191	61	252	192	67	259	185	64	249
"VA"	2005	1601	51001	601	"ACCOMACK COUNTY"	"ACCOMAC"	2	389	305	694	361	333	694	355	334	689
"VA"	2005	1701	51001	701	"ACCOMACK COUNTY"	"ONANCOCK"	2	414	363	777	361	427	788	369	418	787
"VA"	2005	1702	51001	702	"ACCOMACK COUNTY"	"ONLEY"	2	123	123	246	102	143	245	100	146	246
"VA"	2005	1801	51001	801	"ACCOMACK COUNTY"	"BOBTOWN"	2	112	142	254	96	159	255	99	159	258
"VA"	2005	1802	51001	802	"ACCOMACK COUNTY"	"KELLER"	2	70	53	123	64	59	123	69	55	124
"VA"	2005	1803	51001	803	"ACCOMACK COUNTY"	"MELFA"	2	221	130	351	202	140	342	193	148	341
"VA"	2005	1804	51001	804	"ACCOMACK COUNTY"	"QUINBY"	2	56	76	132	50	83	133	39	98	137
"VA"	2005	1805	51001	805	"ACCOMACK COUNTY"	"WACHAPREAGUE"	2	89	100	189	67	115	182	72	115	187
"VA"	2005	1901	51001	901	"ACCOMACK COUNTY"	"PAINTER"	2	575	312	887	553	338	891	553	341	894
"VA"	2005	3101	51003	101	"ALBEMARLE COUNTY"	"WOODBROOK"	5	797	597	1394	728	677	1405	733	681	1414
"VA"	2005	3103	51003	103	"ALBEMARLE COUNTY"	"BRANCHLANDS"	5	322	159	481	304	176	480	284	200	484
"VA"	2005	3105	51003	105	"ALBEMARLE COUNTY"	"DUNLORA"	5	668	346	1014	613	406	1019	624	391	1015
"VA"	2005	3106	51003	106	"ALBEMARLE COUNTY"	"NORTHSIDE"	5	529	438	967	475	499	974	477	500	977
"VA"	2005	3202	51003	202	"ALBEMARLE COUNTY"	"UNIVERSITY HALL"	5	325	115	440	292	148	440	297	141	438
"VA"	2005	3203	51003	203	"ALBEMARLE COUNTY"	"GEORGETOWN"	5	752	240	992	717	271	988	704	288	992
"VA"	2005	3204	51003	204	"ALBEMARLE COUNTY"	"BELFIELD"	5	408	286	694	341	354	695	360	337	697
"VA"	2005	3301	51003	301	"ALBEMARLE COUNTY"	"IVY"	5	1386	683	2069	1245	837	2082	1317	778	2095
"VA"	2005	3304	51003	304	"ALBEMARLE COUNTY"	"EAST IVY"	5	368	257	625	339	292	631	363	269	632
"VA"	2005	3401	51003	401	"ALBEMARLE COUNTY"	"SCOTTSVILLE"	5	340	354	694	340	353	693	347	350	697
"VA"	2005	3402	51003	402	"ALBEMARLE COUNTY"	"MONTICELLO"	5	334	259	593	318	285	603	314	290	604
"VA"	2005	3403	51003	403	"ALBEMARLE COUNTY"	"PORTERS"	5	435	174	609	410	191	601	422	181	603
"VA"	2005	3405	51003	405	"ALBEMARLE COUNTY"	"CALE"	5	1187	465	1652	1122	545	1667	1111	553	1664
"VA"	2005	3406	51003	406	"ALBEMARLE COUNTY"	"STONE ROBINSON"	5	620	686	1306	559	764	1323	581	753	1334
"VA"	2005	3501	51003	501	"ALBEMARLE COUNTY"	"KESWICK"	5	410	228	638	389	247	636	389	246	635
"VA"	2005	3503	51003	503	"ALBEMARLE COUNTY"	"HOLLYMEAD"	5	1282	896	2178	1162	1021	2183	1189	1015	2204
"VA"	2005	3504	51003	504	"ALBEMARLE COUNTY"	"FREE BRIDGE"	5	869	444	1313	797	535	1332	816	521	1337
"VA"	2005	3505	51003	505	"ALBEMARLE COUNTY"	"BURNLEY"	5	359	240	599	348	267	615	336	278	614
"VA"	2005	3601	51003	601	"ALBEMARLE COUNTY"	"CROZET"	5	976	569	1545	928	644	1572	924	657	1581
"VA"	2005	3603	51003	603	"ALBEMARLE COUNTY"	"EARLYSVILLE"	5	803	663	1466	749	744	1493	746	748	1494
"VA"	2005	3605	51003	605	"ALBEMARLE COUNTY"	"YELLOW MOUNTAIN"	5	184	114	298	184	118	302	179	124	303
"VA"	2005	5101	51005	101	"ALLEGHANY COUNTY"	"ARRITT"	9	269	247	516	256	248	504	407	110	517
"VA"	2005	5103	51005	103	"ALLEGHANY COUNTY"	"DAMERON"	9	82	115	197	79	122	201	124	76	200
"VA"	2005	5201	51005	201	"ALLEGHANY COUNTY"	"HUMPBACK BRIDGE"	6	166	167	333	162	172	334	230	108	338
"VA"	2005	5202	51005	202	"ALLEGHANY COUNTY"	"DOLLY ANN"	6	257	211	468	238	233	471	383	97	480
"VA"	2005	5301	51005	301	"ALLEGHANY COUNTY"	"CALLAGHAN"	6	124	144	268	130	142	272	205	71	276
"VA"	2005	5302	51005	302	"ALLEGHANY COUNTY"	"GRIFFITH"	6	316	317	633	307	327	634	517	130	647
"VA"	2005	5401	51005	401	"ALLEGHANY COUNTY"	"LOW MOOR"	9	272	191	463	247	211	458	366	111	477
"VA"	2005	5402	51005	402	"ALLEGHANY COUNTY"	"JACKSON HEIGHTS"	9	209	185	394	186	202	388	307	87	394
"VA"	2005	5501	51005	501	"ALLEGHANY COUNTY"	"IRON GATE"	9	126	92	218	127	96	223	179	44	223
"VA"	2005	5502	51005	502	"ALLEGHANY COUNTY"	"PETERS SWITCH"	9	290	247	537	275	259	534	411	136	547
